sort_order,region_code,region_name,fies_year,ows_year,number_of_families,avg_monthly_family_income_php,avg_monthly_family_expenditure_php,avg_monthly_family_savings_php,savings_rate,income_to_expenditure_ratio,avg_monthly_basic_pay_php,avg_monthly_allowance_php,avg_monthly_wage_rate_php,wage_to_family_expenditure_ratio_proxy,wage_minus_family_expenditure_proxy_php,savings_rate_rank,income_expenditure_rank,wage_expenditure_proxy_rank,fies_match_count,ows_match_count,match_status
1,NCR,National Capital Region,2023,2024,3633000.00,42833.33,32083.33,10666.67,0.249,1.34,27318.10,1991.68,29309.78,0.914,-2773.55,12,11,3,1,1,OK
2,CAR,Cordillera Administrative Region,2023,2024,464000.00,29916.67,20666.67,9250.00,0.309,1.45,16548.32,884.11,17432.43,0.844,-3234.24,6,6,8,1,1,OK
3,I,Ilocos Region,2023,2024,1307000.00,28333.33,19333.33,8916.67,0.315,1.47,14247.54,531.96,14779.50,0.764,-4553.83,4,3,14,1,1,OK
4,II,Cagayan Valley,2023,2024,926000.00,25916.67,17833.33,8083.33,0.312,1.45,14849.03,303.67,15152.70,0.850,-2680.63,5,5,7,1,1,OK
5,III,Central Luzon,2023,2024,3123000.00,31250.00,24916.67,6416.67,0.205,1.25,17372.50,901.85,18274.35,0.733,-6642.32,16,16,16,1,1,OK
6,IV-A,CALABARZON,2023,2024,4304000.00,35583.33,25833.33,9666.67,0.272,1.38,18753.73,957.73,19711.46,0.763,-6121.87,10,10,15,1,1,OK
7,MIMAROPA,MIMAROPA Region,2023,2024,819000.00,22250.00,15833.33,6500.00,0.292,1.41,13418.20,819.85,14238.05,0.899,-1595.28,8,8,4,1,1,OK
8,V,Bicol Region,2023,2024,1374000.00,23916.67,16916.67,7083.33,0.296,1.41,13045.03,706.41,13751.43,0.813,-3165.24,7,7,10,1,1,OK
9,VI,Western Visayas,2023,2024,2019000.00,24833.33,18750.00,6083.33,0.245,1.32,15326.45,777.47,16103.92,0.859,-2646.08,13,13,5,1,1,OK
10,VII,Central Visayas,2023,2024,2053000.00,26416.67,17500.00,8916.67,0.338,1.51,18055.02,1028.52,19083.53,1.090,1583.53,2,2,1,1,1,OK
11,VIII,Eastern Visayas,2023,2024,1185000.00,22250.00,16666.67,5583.33,0.251,1.34,12828.08,638.96,13467.05,0.808,-3199.62,11,12,11,1,1,OK
12,IX,Zamboanga Peninsula,2023,2024,897000.00,21416.67,16750.00,4666.67,0.218,1.28,11861.93,358.42,12220.35,0.730,-4529.65,15,15,17,1,1,OK
13,X,Northern Mindanao,2023,2024,1236000.00,24666.67,16916.67,7833.33,0.318,1.46,14072.33,446.63,14518.95,0.858,-2397.72,3,4,6,1,1,OK
14,XI,Davao Region,2023,2024,1469000.00,26583.33,17000.00,9583.33,0.361,1.56,17162.98,789.83,17952.81,1.056,952.81,1,1,2,1,1,OK
15,XII,SOCCSKSARGEN,2023,2024,1138000.00,23500.00,16833.33,6666.67,0.284,1.40,12621.73,516.29,13138.02,0.780,-3695.31,9,9,13,1,1,OK
16,XIII,Caraga,2023,2024,694000.00,23083.33,17750.00,5250.00,0.227,1.30,13459.43,759.84,14219.27,0.801,-3530.73,14,14,12,1,1,OK
17,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2023,2024,837000.00,17250.00,14083.33,3166.67,0.184,1.22,11168.63,326.33,11494.96,0.816,-2588.37,17,17,9,1,1,OK