year,region_raw,region_code,region_name,number_of_families_thousands,avg_annual_income_thousand_php,avg_annual_expenditure_thousand_php,avg_annual_savings_thousand_php,number_of_families,avg_annual_income_php,avg_annual_expenditure_php,avg_annual_savings_php,avg_monthly_income_php,avg_monthly_expenditure_php,avg_monthly_savings_php,savings_rate,income_to_expenditure_ratio
2015,NCR,NCR,National Capital Region,3096.00,425.00,349.00,76.00,3096000.00,425000.00,349000.00,76000.00,35416.67,29083.33,6333.33,0.179,1.22
2015,CAR,CAR,Cordillera Administrative Region,396.00,282.00,209.00,73.00,396000.00,282000.00,209000.00,73000.00,23500.00,17416.67,6083.33,0.259,1.35
2015,I-Ilocos Region,I,Ilocos Region,1152.00,238.00,182.00,56.00,1152000.00,238000.00,182000.00,56000.00,19833.33,15166.67,4666.67,0.235,1.31
2015,II-Cagayan Valley,II,Cagayan Valley,805.00,237.00,162.00,75.00,805000.00,237000.00,162000.00,75000.00,19750.00,13500.00,6250.00,0.316,1.46
2015,III-Central Luzon,III,Central Luzon,2567.00,299.00,239.00,60.00,2567000.00,299000.00,239000.00,60000.00,24916.67,19916.67,5000.00,0.201,1.25
2015,IV-A-CALABARZON,IV-A,CALABARZON,3395.00,312.00,269.00,43.00,3395000.00,312000.00,269000.00,43000.00,26000.00,22416.67,3583.33,0.138,1.16
2015,MIMAROPA,MIMAROPA,MIMAROPA Region,683.00,222.00,161.00,61.00,683000.00,222000.00,161000.00,61000.00,18500.00,13416.67,5083.33,0.275,1.38
2015,V-Bicol Region,V,Bicol Region,1216.00,187.00,160.00,27.00,1216000.00,187000.00,160000.00,27000.00,15583.33,13333.33,2250.00,0.144,1.17
2015,VI-Western Visayas,VI,Western Visayas,1717.00,226.00,176.00,50.00,1717000.00,226000.00,176000.00,50000.00,18833.33,14666.67,4166.67,0.221,1.28
2015,VII-Central Visayas,VII,Central Visayas,1699.00,239.00,193.00,46.00,1699000.00,239000.00,193000.00,46000.00,19916.67,16083.33,3833.33,0.192,1.24
2015,VIII-Eastern Visayas,VIII,Eastern Visayas,986.00,197.00,156.00,41.00,986000.00,197000.00,156000.00,41000.00,16416.67,13000.00,3416.67,0.208,1.26
2015,IX-Zamboanga Peninsula,IX,Zamboanga Peninsula,799.00,190.00,144.00,46.00,799000.00,190000.00,144000.00,46000.00,15833.33,12000.00,3833.33,0.242,1.32
2015,X-Northern Mindanao,X,Northern Mindanao,1043.00,221.00,161.00,60.00,1043000.00,221000.00,161000.00,60000.00,18416.67,13416.67,5000.00,0.271,1.37
2015,XI-Davao Region,XI,Davao Region,1177.00,247.00,190.00,57.00,1177000.00,247000.00,190000.00,57000.00,20583.33,15833.33,4750.00,0.231,1.30
2015,XII-SOCCSKSARGEN,XII,SOCCSKSARGEN,1051.00,188.00,162.00,26.00,1051000.00,188000.00,162000.00,26000.00,15666.67,13500.00,2166.67,0.138,1.16
2015,XIII-Caraga,XIII,Caraga,574.00,198.00,159.00,39.00,574000.00,198000.00,159000.00,39000.00,16500.00,13250.00,3250.00,0.197,1.25
2015,BARMM,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,620.00,139.00,111.00,28.00,620000.00,139000.00,111000.00,28000.00,11583.33,9250.00,2333.33,0.201,1.25
2021,NCR,NCR,National Capital Region,3512.00,418.00,322.00,96.00,3512000.00,418000.00,322000.00,96000.00,34833.33,26833.33,8000.00,0.230,1.30
2021,CAR,CAR,Cordillera Administrative Region,447.00,350.00,243.00,108.00,447000.00,350000.00,243000.00,108000.00,29166.67,20250.00,9000.00,0.309,1.44
2021,I-Ilocos Region,I,Ilocos Region,1270.00,305.00,210.00,95.00,1270000.00,305000.00,210000.00,95000.00,25416.67,17500.00,7916.67,0.311,1.45
2021,II-Cagayan Valley,II,Cagayan Valley,898.00,290.00,201.00,89.00,898000.00,290000.00,201000.00,89000.00,24166.67,16750.00,7416.67,0.307,1.44
2021,III-Central Luzon,III,Central Luzon,2991.00,329.00,258.00,70.00,2991000.00,329000.00,258000.00,70000.00,27416.67,21500.00,5833.33,0.213,1.28
2021,IV-A-CALABARZON,IV-A,CALABARZON,4082.00,361.00,281.00,80.00,4082000.00,361000.00,281000.00,80000.00,30083.33,23416.67,6666.67,0.222,1.28
2021,MIMAROPA,MIMAROPA,MIMAROPA Region,787.00,255.00,178.00,77.00,787000.00,255000.00,178000.00,77000.00,21250.00,14833.33,6416.67,0.302,1.43
2021,V-Bicol Region,V,Bicol Region,1338.00,252.00,190.00,62.00,1338000.00,252000.00,190000.00,62000.00,21000.00,15833.33,5166.67,0.246,1.33
2021,VI-Western Visayas,VI,Western Visayas,1945.00,268.00,200.00,68.00,1945000.00,268000.00,200000.00,68000.00,22333.33,16666.67,5666.67,0.254,1.34
2021,VII-Central Visayas,VII,Central Visayas,1970.00,285.00,194.00,91.00,1970000.00,285000.00,194000.00,91000.00,23750.00,16166.67,7583.33,0.319,1.47
2021,VIII-Eastern Visayas,VIII,Eastern Visayas,1134.00,243.00,189.00,54.00,1134000.00,243000.00,189000.00,54000.00,20250.00,15750.00,4500.00,0.222,1.29
2021,IX-Zamboanga Peninsula,IX,Zamboanga Peninsula,874.00,239.00,166.00,72.00,874000.00,239000.00,166000.00,72000.00,19916.67,13833.33,6000.00,0.301,1.44
2021,X-Northern Mindanao,X,Northern Mindanao,1191.00,257.00,176.00,82.00,1191000.00,257000.00,176000.00,82000.00,21416.67,14666.67,6833.33,0.319,1.46
2021,XI-Davao Region,XI,Davao Region,1393.00,282.00,184.00,98.00,1393000.00,282000.00,184000.00,98000.00,23500.00,15333.33,8166.67,0.348,1.53
2021,XII-SOCCSKSARGEN,XII,SOCCSKSARGEN,1206.00,235.00,174.00,60.00,1206000.00,235000.00,174000.00,60000.00,19583.33,14500.00,5000.00,0.255,1.35
2021,XIII-Caraga,XIII,Caraga,664.00,250.00,198.00,52.00,664000.00,250000.00,198000.00,52000.00,20833.33,16500.00,4333.33,0.208,1.26
2021,BARMM,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,696.00,185.00,150.00,35.00,696000.00,185000.00,150000.00,35000.00,15416.67,12500.00,2916.67,0.189,1.23
2018,NCR,NCR,National Capital Region,3318.00,460.00,369.00,92.00,3318000.00,460000.00,369000.00,92000.00,38333.33,30750.00,7666.67,0.200,1.25
2018,CAR,CAR,Cordillera Administrative Region,422.00,354.00,230.00,124.00,422000.00,354000.00,230000.00,124000.00,29500.00,19166.67,10333.33,0.350,1.54
2018,I-Ilocos Region,I,Ilocos Region,1213.00,287.00,205.00,82.00,1213000.00,287000.00,205000.00,82000.00,23916.67,17083.33,6833.33,0.286,1.40
2018,II-Cagayan Valley,II,Cagayan Valley,853.00,265.00,174.00,91.00,853000.00,265000.00,174000.00,91000.00,22083.33,14500.00,7583.33,0.343,1.52
2018,III-Central Luzon,III,Central Luzon,2783.00,334.00,270.00,64.00,2783000.00,334000.00,270000.00,64000.00,27833.33,22500.00,5333.33,0.192,1.24
2018,IV-A-CALABARZON,IV-A,CALABARZON,3760.00,384.00,305.00,80.00,3760000.00,384000.00,305000.00,80000.00,32000.00,25416.67,6666.67,0.208,1.26
2018,MIMAROPA,MIMAROPA,MIMAROPA Region,737.00,257.00,175.00,83.00,737000.00,257000.00,175000.00,83000.00,21416.67,14583.33,6916.67,0.323,1.47
2018,V-Bicol Region,V,Bicol Region,1280.00,235.00,193.00,42.00,1280000.00,235000.00,193000.00,42000.00,19583.33,16083.33,3500.00,0.179,1.22
2018,VI-Western Visayas,VI,Western Visayas,1832.00,266.00,202.00,63.00,1832000.00,266000.00,202000.00,63000.00,22166.67,16833.33,5250.00,0.237,1.32
2018,VII-Central Visayas,VII,Central Visayas,1839.00,308.00,204.00,104.00,1839000.00,308000.00,204000.00,104000.00,25666.67,17000.00,8666.67,0.338,1.51
2018,VIII-Eastern Visayas,VIII,Eastern Visayas,1059.00,227.00,179.00,48.00,1059000.00,227000.00,179000.00,48000.00,18916.67,14916.67,4000.00,0.211,1.27
2018,IX-Zamboanga Peninsula,IX,Zamboanga Peninsula,839.00,228.00,162.00,65.00,839000.00,228000.00,162000.00,65000.00,19000.00,13500.00,5416.67,0.285,1.41
2018,X-Northern Mindanao,X,Northern Mindanao,1120.00,250.00,175.00,76.00,1120000.00,250000.00,175000.00,76000.00,20833.33,14583.33,6333.33,0.304,1.43
2018,XI-Davao Region,XI,Davao Region,1284.00,270.00,192.00,78.00,1284000.00,270000.00,192000.00,78000.00,22500.00,16000.00,6500.00,0.289,1.41
2018,XII-SOCCSKSARGEN,XII,SOCCSKSARGEN,1131.00,242.00,181.00,61.00,1131000.00,242000.00,181000.00,61000.00,20166.67,15083.33,5083.33,0.252,1.34
2018,XIII-Caraga,XIII,Caraga,619.00,243.00,187.00,56.00,619000.00,243000.00,187000.00,56000.00,20250.00,15583.33,4666.67,0.230,1.30
2018,BARMM,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,657.00,161.00,127.00,34.00,657000.00,161000.00,127000.00,34000.00,13416.67,10583.33,2833.33,0.211,1.27
2023,NCR,NCR,National Capital Region,3633.00,514.00,385.00,128.00,3633000.00,514000.00,385000.00,128000.00,42833.33,32083.33,10666.67,0.249,1.34
2023,CAR,CAR,Cordillera Administrative Region,464.00,359.00,248.00,111.00,464000.00,359000.00,248000.00,111000.00,29916.67,20666.67,9250.00,0.309,1.45
2023,I-Ilocos Region,I,Ilocos Region,1307.00,340.00,232.00,107.00,1307000.00,340000.00,232000.00,107000.00,28333.33,19333.33,8916.67,0.315,1.47
2023,II-Cagayan Valley,II,Cagayan Valley,926.00,311.00,214.00,97.00,926000.00,311000.00,214000.00,97000.00,25916.67,17833.33,8083.33,0.312,1.45
2023,III-Central Luzon,III,Central Luzon,3123.00,375.00,299.00,77.00,3123000.00,375000.00,299000.00,77000.00,31250.00,24916.67,6416.67,0.205,1.25
2023,IV-A-CALABARZON,IV-A,CALABARZON,4304.00,427.00,310.00,116.00,4304000.00,427000.00,310000.00,116000.00,35583.33,25833.33,9666.67,0.272,1.38
2023,MIMAROPA,MIMAROPA,MIMAROPA Region,819.00,267.00,190.00,78.00,819000.00,267000.00,190000.00,78000.00,22250.00,15833.33,6500.00,0.292,1.41
2023,V-Bicol Region,V,Bicol Region,1374.00,287.00,203.00,85.00,1374000.00,287000.00,203000.00,85000.00,23916.67,16916.67,7083.33,0.296,1.41
2023,VI-Western Visayas,VI,Western Visayas,2019.00,298.00,225.00,73.00,2019000.00,298000.00,225000.00,73000.00,24833.33,18750.00,6083.33,0.245,1.32
2023,VII-Central Visayas,VII,Central Visayas,2053.00,317.00,210.00,107.00,2053000.00,317000.00,210000.00,107000.00,26416.67,17500.00,8916.67,0.338,1.51
2023,VIII-Eastern Visayas,VIII,Eastern Visayas,1185.00,267.00,200.00,67.00,1185000.00,267000.00,200000.00,67000.00,22250.00,16666.67,5583.33,0.251,1.34
2023,IX-Zamboanga Peninsula,IX,Zamboanga Peninsula,897.00,257.00,201.00,56.00,897000.00,257000.00,201000.00,56000.00,21416.67,16750.00,4666.67,0.218,1.28
2023,X-Northern Mindanao,X,Northern Mindanao,1236.00,296.00,203.00,94.00,1236000.00,296000.00,203000.00,94000.00,24666.67,16916.67,7833.33,0.318,1.46
2023,XI-Davao Region,XI,Davao Region,1469.00,319.00,204.00,115.00,1469000.00,319000.00,204000.00,115000.00,26583.33,17000.00,9583.33,0.361,1.56
2023,XII-SOCCSKSARGEN,XII,SOCCSKSARGEN,1138.00,282.00,202.00,80.00,1138000.00,282000.00,202000.00,80000.00,23500.00,16833.33,6666.67,0.284,1.40
2023,XIII-Caraga,XIII,Caraga,694.00,277.00,213.00,63.00,694000.00,277000.00,213000.00,63000.00,23083.33,17750.00,5250.00,0.227,1.30
2023,BARMM,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,837.00,207.00,169.00,38.00,837000.00,207000.00,169000.00,38000.00,17250.00,14083.33,3166.67,0.184,1.22
,,,,,,,,,,,,0.00,,,,