sort_order,region_code,region_name,fies_region_raw,ows_region_raw,notes
1,NCR,National Capital Region,NCR,National Capital Region,
2,CAR,Cordillera Administrative Region,CAR,Cordillera Administrative Region,
3,I,Ilocos Region,I-Ilocos Region,Region I - Ilocos Region,
4,II,Cagayan Valley,II-Cagayan Valley,Region II - Cagayan Valley,
5,III,Central Luzon,III-Central Luzon,Region III - Central Luzon,
6,IV-A,CALABARZON,IV-A-CALABARZON,Region IV-A - CALABARZON,
7,MIMAROPA,MIMAROPA Region,MIMAROPA,MIMAROPA Region,
8,V,Bicol Region,V-Bicol Region,Region V - Bicol Region,
9,VI,Western Visayas,VI-Western Visayas,Region VI - Western Visayas,
10,VII,Central Visayas,VII-Central Visayas,Region VII - Central Visayas,
11,VIII,Eastern Visayas,VIII-Eastern Visayas,Region VIII - Eastern Visayas,
12,IX,Zamboanga Peninsula,IX-Zamboanga Peninsula,Region IX - Zamboanga Peninsula,
13,X,Northern Mindanao,X-Northern Mindanao,Region X - Northern Mindanao,
14,XI,Davao Region,XI-Davao Region,Region XI - Davao Region,
15,XII,SOCCSKSARGEN,XII-SOCCSKSARGEN,Region XII - SOCCSKSARGEN,
16,XIII,Caraga,XIII-Caraga,Region XIII - Caraga,
17,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,